"","FileA","FileB","WassersteinDistanceMean","WassersteinDistanceStDev","WassersteinDistanceMedian","WassersteinDistanceMode","ShapiroWilkStatistic","ShapiroWilkPvalue","NPointsPerDrawn","NDrawns"
"W","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_72SNIa28SNII_lowz_withbias.csv.gz",0.00103528073369546,0.000261495121743021,0.000986398669075202,0.000933185724373771,0.929892470608223,4.90734922701552e-05,1000,100
"W1","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_75SNIa25SNIax_lowz_withbias.csv.gz",0.03492494539216,0.000655847112010386,0.0349790335902717,0.0352012982881342,0.981294932422847,0.167489168481458,1000,100
"W2","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_75SNIa25SNII_lowz_withbias.csv.gz",0.00158425787613867,0.00053363057845013,0.00148824626305112,0.0013107811724551,0.951510211147738,0.00104454766099698,1000,100
"W3","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_90SNIa10SNIax_lowz_withbias.csv.gz",0.0522500670177617,0.000695643704915799,0.0522189669773766,0.0521759657463575,0.988707002862484,0.561700423306054,1000,100
"W4","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_90SNIa10SNIbc_lowz_withbias.csv.gz",0.0745148357127293,0.000725022413061609,0.0745041100031368,0.0744772570108915,0.983538336523097,0.248025906529555,1000,100
"W5","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_90SNIa10SNII_lowz_withbias.csv.gz",0.0506283394367534,0.000692716035728742,0.0506133408300977,0.0505192191349237,0.980966458621429,0.157990057936217,1000,100
"W6","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5AGN_lowz_withbias.csv.gz",0.076351495241705,0.000726426053980251,0.0763780806712999,0.0761854148463361,0.993838916764769,0.933122919413164,1000,100
"W7","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIa-91bg_lowz_withbias.csv.gz",0.109199878652972,0.000738348305649693,0.109279123960457,0.10935358284312,0.98817589922817,0.521266268579071,1000,100
"W8","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIax_lowz_withbias.csv.gz",0.0754259581576095,0.00075591631750249,0.0754015329858715,0.0755066642283294,0.967748192126747,0.0149029985754925,1000,100
"W9","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNIbc_lowz_withbias.csv.gz",0.0793293404723757,0.000753033453735077,0.0793381419093374,0.0795138933198798,0.972548892786136,0.0347520307826329,1000,100
"W10","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_95SNIa5SNII_lowz_withbias.csv.gz",0.0682841640213976,0.000676512491357065,0.0683735747621858,0.0683402319439031,0.988678210581713,0.559472959990462,1000,100
"W11","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2AGN_lowz_withbias.csv.gz",0.0919340301430542,0.000819678045639894,0.0918568512281394,0.0918106726517321,0.992659328608451,0.866683820444376,1000,100
"W12","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2SNIa-91bg_lowz_withbias.csv.gz",0.105363065928653,0.000722636077113369,0.105384560107109,0.105410367205924,0.994492596605523,0.959791522021891,1000,100
"W13","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2SNIax_lowz_withbias.csv.gz",0.102197526754267,0.000667765390759668,0.10219919939662,0.102274296277895,0.991875792716567,0.812155868196247,1000,100
"W14","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2SNIbc_lowz_withbias.csv.gz",0.0934017670691515,0.000717681335259398,0.0933579018003595,0.093308530967581,0.990788152664128,0.728123461250558,1000,100
"W15","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_98SNIa2SNII_lowz_withbias.csv.gz",0.0981220792819719,0.000706707995242896,0.0981835894759989,0.0982733458255656,0.976907216840263,0.0761287571906633,1000,100
"W16","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99.6SNIa0.4TDE_lowz_withbias.csv.gz",0.0951755888300868,0.000731853019102598,0.0951974832654121,0.0950511794306583,0.99115613637736,0.757280947400626,1000,100
"W17","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99.7SNIa0.3CART_lowz_withbias.csv.gz",0.103232281689449,0.000686646457621797,0.103278947750666,0.103145809278262,0.996038278903071,0.99341310732107,1000,100
"W18","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1AGN_lowz_withbias.csv.gz",0.0741943887595801,0.000657729925749508,0.0741026606163851,0.0743139710800242,0.987458579877655,0.469183163331274,1000,100
"W19","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SLSN_lowz_withbias.csv.gz",0.0768194670578968,0.000663485497914421,0.0768503160161751,0.0770203282615962,0.989897423270878,0.656302008152788,1000,100
"W20","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SNIa-91bg_lowz_withbias.csv.gz",0.105164809603486,0.000777642399491816,0.105125922099637,0.104861165943134,0.987632694703738,0.481531792048433,1000,100
"W21","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SNIax_lowz_withbias.csv.gz",0.0959084842884184,0.000657971088118632,0.0959467739517954,0.0958550991349626,0.989090004021878,0.591662316266444,1000,100
"W22","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SNIbc_lowz_withbias.csv.gz",0.0958155372383328,0.000708751394909192,0.0958322886401661,0.0960819769484279,0.984954738477552,0.315213651051555,1000,100
"W23","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_99SNIa1SNII_lowz_withbias.csv.gz",0.0955547856406943,0.000745893378945466,0.0955586581534799,0.0956302731191858,0.993751039436509,0.928953717666217,1000,100
"W24","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_fiducial3000_lowz_withbias.csv.gz",0.0909274206697583,0.000692407921923048,0.0910018878346178,0.0911634357802967,0.984208025114484,0.278071256850895,1000,100
"W25","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_perfect3000_lowz_withbias.csv.gz",0.0890679743978751,0.00079623206224142,0.0891783243369282,0.0890975717748066,0.989320998229571,0.609991348198527,1000,100
"W26","chains_72SNIa28SNII_lowz_withbias.csv.gz","chains_random3000_lowz_withbias.csv.gz",0.0699636091229093,0.000750724991010633,0.0700828343267603,0.0703172902188284,0.967749800160926,0.0149071645513728,1000,100
